id,Title,Content,Date
2409,"Aramco world’s most profitable company in 2018","Oil giant Saudi Aramco revealed yesterday it made the world’s biggest corporate profit last year, opening its secretive accounts for the first time as it prepares to raise funds from investors. ",2019-04-01
2435,"Liquidity measure: Liquid assets to total assets ratio of GCC Islamic banks","The liquidity conundrum is one that has been discussed at great length especially in the Islamic banking context, where there is a dearth of instruments to effectively manage liquidity.",2019-11-13
3101,"Kuwait ended the year as the best performing GCC market in 2019: Markaz","The strong rally in Kuwait equities during the year stemmed from MSCI’s decision to include Kuwait in its emerging market indices from next year.",2020-01-07
3104,"UAE's non-oil private sector posts slowest growth in 8 years in December","Conditions in the UAE’s non-oil private sector have remained subdued, as businesses struggle to keep sales up and stimulate demand amid stiff competition, according to new data.",2020-01-06
3127,"Reasons why Saudi Arabia is the most attractive MENA market for retail investments","Saudi Arabia is the most attractive developing market for retail investment in the Middle East and North Africa (Mena) and among the top ten in the world, according to the 2019 Global Retail Development Index (GRDI) from global management consultancy firm A.T. Kearney. ",2019-12-16
3128,"UAE banks prove resilience again with bumper profits","UAE banks posted strong profits in the first half of 2019 and this trend is expected to continue in the second, with local and international dynamics dictating the country's banking sector.",2019-08-11
3129,"Kuwait’s MSCI upgrade to attract $3-6bln of passive inflows: analyst","MSCI announced on Tuesday that it would upgrade Kuwaiti equities to emerging markets status in its May 2020 semi-annual review",2019-06-26
3130,"Markaz launches a special publication titled Souq Al-Manakh and five other GCC crises","The publication covers major financial crises such as Souq Al-Manakh, the subprime crisis in 2008, Dubai 2009 Real Estate Meltdown, the default of a major Saudi group",2019-06-23
3131,"INTERVIEW: Daman Investments to launch two new funds","Dubai-based Daman Investments is launching two new funds, with the first targeting conventional investors and the second being offered to those seeking shariah-compliant investments, the company’s head of asset management has told Zawya.",2019-03-26
3132,"M&A among strategies in GCC banking sector to enlarge benefits","Mergers and acquisitions (M&A) are one of the widely adopted corporate strategies that endorse the growth of an organization; however, not all mergers yield positive outcomes, according to Raghu, executive vice president (EVP) and head of research at Markaz and managing director of Marmore MENA Intelligence, a research subsidiary of Markaz.",2019-03-11
3133,"More in the tank: Higher oil prices dent Gulf bond and sukuk issuance in 2018 - report","A higher average oil price over the course of 2018 meant Gulf governments tapped debt capital markets less frequently throughout the year, a new report has said.",2019-01-13
3134,"UAE investors get money’s worth by betting big on dividend stocks","Regional investors who were unsure if they should put their hard-earned money in stocks and sought shelter in high dividend-paying companies rightly reaped heaps in dividend payouts this year.",2019-12-31
3135,"Saudi Aramco shares extend losing streak to third day","Saudi Aramco shares extended a losing streak to a third day on Thursday, shedding much of their initial gains seen after a blockbuster initial public offering as investors take profits.",2019-12-19
3138,"Investors hope Qatar dairy will be cash cow","The cows of Qatar’s Baladna farm, housed in climate-controlled farms in the desert, exemplify the lengths to which Qatar has gone to resist what it calls an economic “blockade” enforced by its Saudi-led neighbors.",2019-11-06
3140,"Milking it: investors hope Qatar's desert dairy will be cash cow","The cows of Qatar's Baladna farm, housed in climate-controlled farms in the desert, exemplify the lengths to which Qatar has gone to resist what it calls an economic ""blockade"" enforced by its Saudi-led neighbours.",2019-11-06
3141,"Markets to stay bearish ahead of Aramco IPO","The regional bourses will stay bearish in the coming weeks, ahead of Aramco's IPO as retail investors will sell their holdings to raise cash to subscribe the Saudi giant's share offering, say analysts.",2019-11-05
3143,"Dubai seeks investments to bolster its economy","With the highest tower in the world, grand commercial centres and artificial islands, Dubai projects an image of prosperity, even as the city-state races to court investors to bolster it economy.",2019-10-05
3145,"Dubai seeks investment to bolster flagging economy","With the highest tower in the world, grand commercial centres and artificial islands, Dubai projects an image of prosperity, even as the city-state races to court investors to bolster a flagging economy.",2019-10-04
3146,"Oil producers to weigh output cuts at this week’s meet","Top oil producers will consider fresh output cuts at a meeting this week, but analysts are doubtful they will succeed in bolstering crude prices dented by the US-China trade war.",2019-09-08
3147,"Analysts hail RBI's repo cut to 6.25%","The Reserve Bank of India's decision to cut the repo rate to 6.25 per cent will benefit the Non-resident Indians (NRIs) who intend to take a loan, or are already having a loan based on floating interest rates, experts have said.",2019-02-07
3182,"Markaz: GCC market outlook 2020 mostly Stable despite volatility","Kuwait Financial Centre 'Markaz' recently released its outlook on GCC markets for the full year of 2020.",2020-01-19
3184,"Outlook mostly stable despite volatility","Markaz analyses the performance of GCC stock markets in 2019 and provides an outlook for 2020 based on  a four-force framework that includes economic outlook, corporate earnings potential, valuation  attraction, and market liquidity, for all the GCC markets. ",2020-01-19
3607,"GCC equities and coronavirus: Minimal impact in the UAE, Saudi stocks suffer losses","Oil prices dropped 11.9% on concerns over oil demand from China",2020-02-03
3799,"US dollar turns safe haven for investors","The yen fell past 112 to a 10-month low against a broadly stronger US dollar on Thursday, extending recent losses for the Japanese currency as investors fretted about dire economic news out of the country.",2020-02-23
3895,"Panic Selling Hits Stocks","The sharp reactions to bearish cues were evident as global indices unleashed fear and panic and investors resorted to heavy selling on Friday over the Covid-19 spread.",2020-02-29
3936,"Kuwait markets pulled down by Coronavirus hurdle","S&P GCC composite index declines by 7.4% ",2020-03-04
3972,"More than $200bn wiped off Gulf markets in huge one-day slump","Hundreds of billions of dollars were wiped off Gulf markets on Sunday after they were hit with their biggest one-day fall sell-off in 15 years. More than $180bn was wiped off from the region's biggest bourse, Saudi Arabia's Tadawul, while trading in the Kuwait Premier Market index was suspended for the second time in six days after hitting a daily decline limit of 10 per cent in company share values.",2020-03-09
3973,"India stocks, rupee plunge on global cues","The Indian stock markets plunged today wiping out Rs6.5 trillion equity investors' wealth, with Sensex recording a loss of 2,400 points and Nifty50 trading below 10,400 points. The domestic indices were in line with the global markets on persistent fears of economic impact of the coronavirus epidemic.",2020-03-09
4155,"GCC IPOs could be delayed as coronavirus outbreak hurts investor appetite","As many as 16 IPOs expected to take place in 2020 may not materialize",2020-03-23
4172,"Global recession now inevitable as coronavirus continues to spread: analysts","Some economies in Europe, Asia will be worst hit, add analysts",2020-03-12
4173,"Coronavirus to hurt GCC's real estate, hospitality, banking sectors - S&P","Ratings agency says crisis will also reduce region's export volumes",2020-03-12
4174,"UAE stocks bounce back after US-Iran turbulence","Benchmarks on DFM, ADX wipe out steep losses recorded at peak of Middle East crisis",2020-01-13
4410,"Middle East faces a long, ‘ugly’ recession amid coronavirus fallout: Experts","The IMF predicted last week that coronavirus would likely cause the greatest global recession in nearly a century...",2020-04-20
4425,"Middle East faces a long, ‘ugly’ recession: Experts","The Middle East is facing a long and “ugly” recession as the coronavirus pandemic stifles economic activity, experts said.",2020-04-20
4426,"Coronavirus: Emerging markets, including Saudi Arabia, headed for recession?","Emerging Markets economies facing severe stress resulting from health crisis: S&P",2020-04-01
4428,"India budget fails to deliver on stimulus","Too much of capital outlay on agriculture comes at the expense of cash starved industry",2020-02-02
4430,"Kuwait’s fiscal buffers bring breathing space","Economic optimism across the six countries of the Gulf Co-operation Council (GCC) is in short supply going into the second quarter of 2020. ",2020-04-01
4433,"Reforms put Kuwaiti stocks on investors' radars","The evolution of Kuwait’s capital markets has illustrated the country’s economic transformation of the past 10 years.",2020-04-01
4434,"Gulf stock markets hit as coronavirus sinks crude oil prices","Demand in China, world’s biggest oil importer, has slumped 20 percent as coronavirus takes its toll",2020-03-02
4436,"Gulf Bourses Down as Coronavirus Spreads","Stock markets in the Gulf slumped on Sunday on fears the spreading coronavirus outbreak could hurt the global economy and oil prices.",2020-03-01
4438,"Expo 2020 Dubai Organizers Recommend One-Year Postponement","Organizers of Expo 2020, a multi-billion-dollar world trade fair originally scheduled to open in Dubai in October, on Monday recommended a one-year postponement due to the coronavirus pandemic.",2020-03-30
4440,"Coronavirus compounds Gulf economic woes as oil prices slump","Capital Economics estimates the 6 Gulf Cooperation Council states will lose some $40 billion of oil revenues in 2020",2020-03-05
4442,"Coronavirus Effect: Gulf Countries Face Economic Woes as Oil Prices Slump","The Gulf region is already struggling to cope with decreasing oil revenues as the public health crisis paralyses economic giant China, the world's biggest oil importer and buyer of Gulf oil.",2020-03-04
4612,"Is this the right time to invest in property? Experts weigh in","Although distress sales and deals abound in the market, beware of price volatility and falling yields",2020-05-20
4888,"COVID-19 hits Middle East construction activity","M.R Raghu, said that although the GCC construction market continued to remain buoyant, with projects worth $17.5bn announced in February 2020 alone, the supply of materials was bound to face constraints.",2020-06-01
5391,"Kuwait Stocks Drop With Emir in Hospital, S&P Outlook: Inside EM","Kuwait’s main equity index led losses in the Gulf after the country’s ruler was hospitalized over the weekend and S&P Global Ratings downgraded the prospects for the economy.

",2020-07-19
5423,"Sensex, Nifty drop as investors eye Fed meeting today","The Indian stock markets witnessed choppy trend as they traded in negative in mid-day trading.",2020-07-29
5578,"Are there investment lessons to be learned from epidemics/pandemics?","The coronavirus-induced market correction is only temporary, reassure wealth managers",2020-06-24
5594,"Covid-19 crisis: UAE, GCC firms’ Q2 net profits set to plunge","UAE and GCC companies will report a significant drop in their second-quarter earnings due to higher provisions and lower revenues in the wake of the Covid-19 crisis, according to experts.",2020-07-21
5596,"GCC's Borrowing Binge","GCC-based countries are drawing down their foreign exchange reserves to protect their dollar pegs and tapping global debt markets for record amounts, along with corporates.",2020-07-28
5598,"Beirut blast: Lebanon's economy, currency likely to weaken further","The Lebanese pound has already lost more than 80 per cent of its value since October last year.",2020-08-05
5830,"Kuwait ousts blue-collar expats as slump, resentment bite","The cash-strapped govt said last month that from January it will no longer renew work permits for expatriates over the age of 60 without university degrees",2020-09-10
5834,"Kuwait ousts blue-collar expats as slump, resentment bite","Like its Gulf neighbours, Kuwait depends heavily on cheap foreign labour, mainly Middle Eastern and Asian workers.

",2020-09-10
6225,"Kuwait: A compelling proposition (Cover Story)","MR Raghu pointed out that Islamic banks still entered the current pandemic in a very good position in terms of asset quality, profitability and capitalization…",2020-10-28
6227,"Vote of confidence for volatility","Some economists predict that Democrats and Republicans are unlikely to agree on a stimulus deal before the November 3 elections.",2020-10-25
6229,"UAE lenders banking on gradual recovery","Financial institutions' performance to largely depend on economic rebound",2020-08-15
6297,"UAE's legal reforms to boost its status as expat, investment destination","Move can incentivise 'greater business participation' ",2020-11-10
6299,"Kuwait Stocks’ Big Moment Lacks the Usual Pre-Upgrade Rally","Kuwaiti companies will enter the popular emerging-market stocks benchmark compiled by MSCI Inc. this month.",2020-11-09
6301,"Kuwait stocks’ big moment lacks usual pre-upgrade rally","MSCI is due to unveil its semi-annual index review on Tuesday, disclosing Kuwaiti shares to be added to the MSCI Emerging Markets Index..",2020-11-09
6303,"Qatar- Kuwait stocks' big moment lacks usual pre-upgrade rally","Kuwaiti companies will enter the popular emerging-market stocks benchmark compiled by MSCI Inc this month.",2020-11-09
6314,"Oil-rich Kuwait faces reckoning as debt crisis looms","COVID, low oil prices and the liquidity crisis have all come together in a perfect storm

",2020-11-24
6528,"Markaz House Views 2021: Opportunities and Outlook","Join Markaz webinar titled ‘Markaz House Views 2021: Opportunities and Outlook’ to hear Markaz investment professionals share their expert opinion on current market conditions and provide outlook for 2021.",2021-01-18
6644,"Budget sops boost Indian stocks","The Indian stock markets welcomed the much anticipated budget 2021-22 by Finance Minister Nirmala Sitharaman on Monday, showing bullish cues.",2021-02-01
6699,"Saudi plan to lure multinationals will boost job creation and knowledge transfers","Move will fast-track the country's goal to make Riyadh one of the top 10 city-economies in the world",2021-02-16
6700,"Markets cheer as Sensex crosses 2,000 points, Nifty up by 500 points","The Indian stock markets cheered on Monday in the mid-trading session as stocks cross 2,000 points",2021-02-01
6855,"Operation Suez success as monster ship refloated","Intense salvage efforts lasting 7 days free mega ship and 367 ships affected by the blockage",2021-03-30
6856,"Megaship blocks Suez Canal for third day: Why it matters to oil prices, world trade","Billions worth of commodities, crude and goods pass through it... If the blockade is cleared within a day, the implications could be minimal. However, if the situation persists for five days or more, the ramifications could be massive",2021-03-25
7212,"Dubai Shares Lead Mideast Gains on Property Optimism: Inside EM","The major contributor to the recent rally in Kuwait Premier Markets has been the surge in Agility’s shares",2021-05-09
9000,"UAE’s weekend change to boost economic competitiveness","The step will also lead to better integration of the local economy with global financial markets, analysts say",2021-12-08
9156,"What is the Dubai talent pass, how much does it cost and who can apply?","Dubai Airport Free Zone launched the pass to attract freelancers in the media, art, culture, technology and education sectors",2022-01-12
9158,"UAE Proposed Corporate Tax: Mr. Raghu Interview","Companies in the UAE are gearing up for the new tax on profits- the first of its kind in the country- coming into effect in June 2023.",2022-02-02
9160,"Will a new tax dent business-friendly Dubai?","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with CNN Business on UAE tax",2022-02-03
9257,"Mentor For India @ 100","Mr. M.R. Raghu, CFA, FRM, FCMA CEO of Marmore MENA Intelligence is #Mentor for INDIA@100. ⁠",2022-02-23
9259,"Markaz to share insights on evolving market dynamics during Doha Bank's webinar","Contributing to enhancing the local and regional business environment and positive investor sentiment in the post-pandemic landscape",2022-02-22
9284,"Europe is the most affected by the imposition of sanctions on the Russian energy sector","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com on Imposing sanctions on the Russian energy sector.",2022-03-08
9286,"Russia's Central Bank action","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com on Russia's Central Bank action",2022-02-28
9301,"Kuwait inflation hits decade high as food prices soar by 7.2%","Markaz subsidiary Marmore says Kuwait’s inflation is now one of the highest rates among GCC countries",2022-03-15
9366,"What the UAE's decision on listing co-ops will mean for the market","The country is taking several measures to boost its financial markets and attract new investors",2022-03-22
9368,"Dollar prices have not reached the peak yet","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com on the dollar prices have not reached a peak yet.",2022-03-23
9370,"Global Economy","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com on Global Economy",2022-03-30
9389,"How the impact of western sanctions on Russia could affect GCC states","Marmore MENA Intelligence says macro-economic impact of sanctions on Russia by the west can be substantial and bilateral relations between Russia and the GCC are important",2022-04-18
9425,"Revealed: The countries leading the FDI surge into Dubai","The UAE continues to launch incentives to attract foreign investment and overseas talent",2022-05-11
9439,"The UAE economy's transformation under Sheikh Khalifa's leadership","Sheikh Khalifa bin Zayed, who died on Friday at the age of 73, presided over the UAE’s transformation into a progressive economy.
",2022-05-14
9444,"Sheikh Khalifa, ‘master statesman’ who put UAE on the map","Analysts pay tribute to the visionary leader who transformed his region",2022-05-16
9505,"UAE’s aluminium drive is out of this world","Aluminium has been a bedrock of the UAE’s economy and its industrial ambitions for years with exports reaching more than 50 countries around the world.",2022-05-24
9522,"High inflation and slowing growth could lead to recession","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com - High inflation and slowing growth could lead to recession
",2022-05-30
9552,"Canada and Dubai grow closer with every deal struck","A Canadian pension fund company’s decision to invest $5 billion in UAE multinational logistics company DP World’s assets is a striking example of the deepening commercial ties between the two countries.  ",2022-06-07
9591,"The Fed will keep raising interest rates until the end of 2023","Interview of our CEO M.R. Raghu, CFA, FRM, FCMA. with Bloomberg ashraq.com - The Fed will keep raising interest rates until the end of 2023",2022-06-18
9618,"From chocolate to solar power, the UK-GCC trade deal is a winner","A comprehensive free trade agreement between the six GCC nations and the UK would be a milestone",2022-06-23
9636,"Dubai takes roadshow to Africa, India and Europe to court startups","Accelerator programmes and incubators help startups at different stages of the business cycle, by providing them with advisory, networking and administrative support services.",2022-06-27
9641,"UK’s offer of visa-free travel to UAE hailed as ‘historic’ step","UAE has been a key market to the UK in terms of inbound tourism, featuring among the top 10 countries by inbound visitor spending in 2019.",2022-06-28
