id,Title,Content,Categories
2045,"Key Players in GCC Sharing Economy","Sharing economy entails collaborative consumption that promotes concepts like community ownership, localized production, growth of small-scale enterprise, improved economic and environmental consciousness. Who are the key players in GCC sharing economy?","GCC Region"
2139,"Ridesharing Platforms Operating in GCC","The GCC region witnessed its biggest tech deal wherein Uber acquired Careem, the most prominent ride sharing player in the region in a deal worth $3.1 billion. What does this reveal about the present and future of ride sharing market in GCC?","GCC Region"
2208,"Online Food Delivery Sites and Apps with Strong Presence across GCC","How are marketing innovations, and lifestyle changes of GCC consumers affecting the business in restaurants and online food ordering and delivery services?","GCC Region"
2210,"M&A Activities in GCC Restaurant tech space","Food delivery services contributed a gross revenue of USD 284.9 million to the GCC economy in 2018. The GCC food delivery sector is lively with a strong growth and multiple M&A deals. Find out about the prominent deals in GCC Restaurant tech - Marmore Research Report.","GCC Region"
2212,"Remittance Charges to India","Qatar, the fifth largest remitter to India, has the highest remittance cost to India among GCC countries.","GCC Region"
2224,"GCC Restaurant tech startups in key segments","With a 77% smart phone penetration in the GCC, the region is witnessing the emergence of a new section of digital customers which has its repercussions across industries. Who are the key food tech startups in the GCC region?","GCC Region"
2260,"Remittance charges to Pakistan","Saudi Arabia, which accounts for the highest remittance inflows into Pakistan, also has the highest remittance cost to Pakistan among GCC countries. ","GCC Region"
2273,"Key Trends in Restaurant Tech","Cooked? Baked? 3D printed? How do you prefer your food? Read about how restaurants across the GCC use enabling technologies to cater to customers. ","GCC Region"
2290,"Oman and Bahrain's spreads widen after downgrade in credit ratings","Here is where the CDS spreads of GCC countries stand in comparison with global peers.","GCC Region|Global"
2311,"Remittance charges to Bangladesh","The UAE, whose remittance outflow to Bangladesh stood at USD 2.4 billion in 2017, has the lowest remittance cost to Bangladesh among GCC countries.","GCC Region"
2317,"Remittance charges to Philippines","Did you know? Saudi Arabia has the highest remittance cost to Philippines among GCC countries.","GCC Region"
2321,"Expat proportion (%) of total population in GCC states","Which countries has the highest expat proportion in GCC.","GCC Region"
2367,"iPhone 11 Pro Max - Price Index (256 GB)","Prices of iPhone across globe, where to buy the next iPhone?",Global
2394,"Power of Passport - GCC Comparison","Passport power for GCC nations status upgraded...","GCC Region"
2516,"Ease of Doing Business Parameters – Kuwait 2018 – 2020","Kuwait jumps 14 points up at ease of doing business released by World bank, How did it fare across parameters?",Kuwait
2584,"Salaries in the Middle East: How they compare across functions?","How salaries differ across designations? What can one expect to draw in the Middle East?","Mena Region"
2596,"Kuwait Banks - Stock Market Performance (2019)","How have Kuwaiti banks fared in 2019?",Kuwait
2704,"What value would Aramco trade at?","Saudi Aramco would start trading from 11th December onwards, post listing what do you think the stock would trade at?","Saudi Arabia"
2729,"GCC Equity Indices 2019 YTD Performance","Kuwait stock market outperforms regional peers with YTD gains of 17% (as of 28th Nov) amid investor euphoria on MSCI’s announcement on reclassification of the Kuwait to emerging market status.","GCC Region|Kuwait"
3029,"Science and Engineering journal articles published per million population, 2018","Most GCC states lag behind world average in Science & Engineering research",Global
3124,"Kuwait - High Growth Sectors (2010 - 2018)","Basic metals and Chemicals – highest growing sector in Kuwait.",Kuwait
3243,"Kuwaiti Economy - Average Growth Sectors (2010 - 2018)","Social work, defense and cultural services sectors witnessed above average growth during 2010-18",Kuwait
3409,"Brokerages call on Saudi Aramco","How much did brokerages value Saudi Aramco post its listing?","Saudi Arabia"
3418,"Sectors with Negative Growth in Kuwait (2010 - 18)","Wood and Food & Beverages de-grew the most during 2010-2018.",Kuwait
3457,"IPOs in GCC Region, 2013 - 2019","Managing and exiting investments made by PE and VC is a key hurdle stifling the growth of the industry. IPOs remain a less frequent exit route for GCC SMEs.","GCC Region"
3637,"GCC PE Firms - Investments transactions by country, 2008-2019","UAE firms have been involved in more PE transactions between 2008 and 2019 than the rest of the GCC combined.","GCC Region"
3688,"Global Powertrain Market Share 2015- 2030","Globally there is a growing shift towards Electric Vehicles (EV). What are the factors driving EV demand and their expected demand in GCC countries.","GCC Region|Global"
3704,"Net Passenger Vehicles Imports by Value","In 2014 Saudi Arabia accounted for the largest share of passenger vehicle market by value in the GCC. How has this changed in 2018? What could be the share over the next 5 years?","GCC Region"
3947,"Exposure of Norway's Sovereign Wealth Fund (SWF) to GCC Equities","UAE and Kuwait dominate Norway’s SWF equity investments in GCC. For 2018-19, value of the investments increased the most in Kuwait","GCC Region"
4246,"GCC Equities face unprecedented fall amid coronavirus","Markets have usually recovered within a year from outbreaks.","GCC Region"
4253,"Previous outbreaks have had lesser impact on Kuwait equities","Has the fall in Kuwait equities from coronavirus (COVID-19) been steeper than previous outbreaks?",Kuwait
4452,"GCC 5year Credit Default Swap (CDS) Spreads","As fears of a global recession have grown GCC sovereign CDS spreads, a key measure of credit risk, have jumped markedly - tripling or quadrupling in some cases.","GCC Region"
4454,"10-year U.S Treasury Yield (%)","Yields stay low as investors flock to safe haven assets.",Global
4470,"Gold, Oil & Currency - 28th April","Oil price tumbles amid continued supply, drop in demand and storage woes",Global
4533,"In how many days does COVID-19 Confirmed cases doubles in GCC Countries?","Check our latest chart on COVID-19: Number of days in which confirmed COVID cases are doubling in GCC.","GCC Region"
4537,"GCC Doubling time and Fatality rate","COVID-19: Which GCC Countries are faring better with lower fatality rates and high number of days required to double?","GCC Region"
4539,"Most of the GCC REITs are trading at 52 week lows","REITs have been hit hard on expectations of lower occupancy and falling rents amid lockdown.","GCC Region"
4543,"Impact on different Banking services due to COVID-19","How Covid-19 is affecting banking services?",Global
4579,"Monetary policy action by GCC Central Banks in response to COVID-19","With GCC Central Banks in action Interest Rates cut and Financial Stimulus were announced. Find out the quantum of support provided so far.","GCC Region"
4620,"Revision to GCC’s 2020 Fiscal Forecasts due to change in oil prices and COVID-19","COVID19 and volatility in oil prices make the outlook for GCC uncertain. How have it impacted the IMF's 2020 forecasts for the region? ","GCC Region"
4649,"GCC Quarterly IPO activity, 2013-2019","Managing and exiting investments made by Private Equity and Venture Capital is a key hurdle stifling the growth of the industry. IPOs remain a less frequent exit route for GCC SMEs.","GCC Region"
4709,"Share prices of GCC REITs compared with 52 week highs and lows","COVID19 Impact: Most of the REITs in GCC are trading near their 52-week lows, what are the performance expectations in the short term?","GCC Region"
4782,"Global COVID-19 confirmed cases are accelerating","While April glimpsed just 2 days of more than 100,000 daily new cases globally, May spotted it for 8 days, and June all along; Is 100,000 daily cases a new normal? ",Global
4839,"GCC COVID-19 daily new cases and deaths trend","Will UAE soon be hailed triumphant in winning the fight against COVID-19; the country’s daily cases and deaths dives down in contrast to elsewhere in GCC.","GCC Region"
4997,"Return Expectations for the next 10 years for Global markets","COVID-19 has revised long term equity return expectations for global markets. What can we expect for Saudi equities?",Global
4998,"Results of Socila Media Poll - Return expectation for Saudi Arabia 2020-2024","We conducted a poll in Saudi Equity returns, here are the results!
How important is it to develop equity market returns platform for Saudi Arabia, read our article","Saudi Arabia"
5053,"GCC Countries comparison of Testing and number of cases per million","On a per million population basis UAE fairs the best both in terms of tests conducted and least number of confirmed cases reported. How does other GCC Countries fare on these parameters?","GCC Region"
5147,"Investor risk appetite has improved in the GCC region","Market volatility & sovereign spreads have eased as risk appetite has returned in the GCC region.","GCC Region"
5163,"Covid unable to infect Tesla","Tesla on top gear as its equity shares witness strong rally despite coronavirus disruption",Global
5178,"Performance of Global Sector Indices","Investors pile on technology sector as COVID-19 pandemic accelerates shift to a more digital world",Global
5189,"Performance of Commodities","In the current Covid chaos, Gold is a clear winner",Global
5195,"Performance of U.S Tech Giants","U.S tech giants trounce economic catastrophe to emerge as clear winners.",Global
5253,"Performance of Travel & Hospitality Stocks","Coronavirus has taken its toll on travel industry. Airlines and hotels struggle to survive",Global
5306,"Performance of Global Market Indices","China and U.S stocks recover from COVID-19 effects faster than others. UK, France and Italy lags.",Global
5445,"Performance of U.S 10-year Treasury Bond","US treasury yield moves lower as US Fed holds interest rates steady",Global
5491,"GCC COVID-19 mobility trends","While GCC mobility recovered from the May's drop, it has remained relatively flat in June and July indicating a slow or plateaued recovery","GCC Region"
5502,"Performance of GCC Sovereign CDS Spreads","GCC Sovereign CDS spreads ease as economic conditions improve","GCC Region"
5627,"Evolution of Cost of Capital in the GCC","In the GCC region - Cost of capital, a key metric to value investments, has evolved over the years. What has been the impact of COVID-19?","GCC Region"
6154,"Saudi Arabia's export of key items to USA is just a fraction of China's exports to USA, can this change?","Could frictions between U.S. & China be a window of opportunity for KSA.","Saudi Arabia"
6183,"UAE's export of key items to USA is just a fraction of China's exports to USA, can this change?","Could frictions between U.S. & China be a window of opportunity for UAE.","United Arab Emirates"
6187,"In Comparison to China, Kuwait barely exports to the USA. Can this change?","Can trade war between U.S. & China be an opportunity for Kuwait to increase its exports to the USA?",Kuwait
6204,"Qatar's export of key items to USA is just a fraction of China's exports to USA, can this change?","Could frictions between U.S. & China be a window of opportunity for Qatar.",Qatar
6398,"U.S Treasury Yield and GDP Deflator","Could the secular decline in yields survive COVID-19 induced liquidity glut? ",Global
6445,"Saudi Arabia Treasury Yield & GDP Deflator","Could higher inflation threaten the splendid rally in KSA Sovereign bonds?","Saudi Arabia"
6448,"Qatar Treasury Yield & GDP Deflator","Investors lap up Qatar sovereign bonds as yields plummet. How low could the yields go?",Qatar
6449,"Market Performance","Market Performance","GCC Region"
6922,"Kuwait - Daily New Covid Cases","Did you know? 
Kuwait is facing a more acute second wave of COVID19",Kuwait
6924,"Kuwait population by Age, 2019","Kuwait population pyramid-untypical bulge",Kuwait
6926,"Saudi Arabia Economic Indicators","Services dominate in Saudi GDP as much as Oil","Saudi Arabia"
6929,"UAE – Daily New Covid Cases","Did you know: UAE faces an acute second wave of the virus, which peaked in February and have since subsided.","United Arab Emirates"
6932,"KSA Fiscal Position, Debt & Reserves","The fiscal triangle of Saudi Arabia: Higher deficit, higher debt, and lower reserves.","Saudi Arabia"
6940,"India Covid-19 Daily New Cases","Did you know: India faces an acute second wave of the virus, which is much steeper and yet to peak.",Global
6943,"UAE Economic Activity, GDP","UAE enjoys a diversified services sector.","United Arab Emirates"
6951,"Banking Indicators - UAE","Banking assets in UAE are twice as much as its GDP","United Arab Emirates"
6953,"Qatar Covid-19 Daily New Cases","Did you know: Post steep first wave of the virus, the second wave is yet building up in Qatar.",Qatar
6957,"Bahrain Covid-19 Daily New Cases","Did you know: In Bahrain, current new COVID-19 cases as a percentage of earlier peak is at 1.21x.",Bahrain
6959,"UAE Trade Statistics","UAE imports the most from China and India, while India is its top export destination as well.","United Arab Emirates"
6962,"USA Covid-19 Daily New Cases","Did you know: While most of the nations are into second wave of COVID-19, USA is about to have a 4th wave. Each subsequent wave had a new higher peak as the second wave peak was 1.11 times higher than the first wave peak, and third wave peak was 2.96 times higher than the second wave.",Global
6965,"Ease of Doing Business Rankings - UAE","Starting a business, getting credit, and protecting minority interest witnessed major improvements, resulting in significant improvement in UAE's Ease of Doing Business Rankings.","United Arab Emirates"
6970,"GCC Labour Market","Saudi Arabia, Bahrain, and Oman has better representation of Nationals working in the private sector, whereas other GCC countries lag.","GCC Region"
6972,"UK Covid-19 Daily New Cases","Did you know: UK just got over its second wave which had a peak higher by 12.4 times compared to it's first wave. Would UK see another wave in 2021?",Global
6978,"Qatar Global Competitiveness Ranking","Qatar showed substantial improvement in ICT adoption, but faltered on other parameters which led to drop in its global competitiveness ranking.",Qatar
6980,"GCC Total Cases per million","Did you know: On COVID-19 Cases per Million basis - Bahrain is the worst affected country in the GCC, while Saudi Arabia has managed really well to contain the spread.
","GCC Region"
6983,"GCC - New Covid-19 Tests Performed per Thousand People","Did you know: UAE leads in terms of testing more people for COVID-19, followed by Bahrain. Other GCC countries are yet to catch up. ","GCC Region"
6993,"GCC's Fiscal Breakeven Oil Price","Oil prices are back to pre-covid levels and are cushioning the borrowing requirements of the region. ","GCC Region"
6996,"Germany new COVID-19 cases","Did you know: As Germany weathers the third wave of COVID-19 it has imposed strict lockdown measures to contain the spread. ",Global
6999,"GCC Current Account Balance (% GDP)"," Except UAE, all other GCC nations are expected to post a negative current account balance. ","GCC Region"
7005,"Italy new COVID-19 cases","Did you know: In Italy (currently in third wave), any region with more than 250 COVID cases per 100,000 is placed under ""red"" category meaning bars, restaurants and schools must close. ",Global
7016,"France new COVID-19 cases","Did you know: France might have crossed the peak of the third wave of the Covid-19 pandemic, as schools would open and restrictions confining people to a 10-kilometre (six-mile) radius of their homes would be dropped from May 3",Global
7023,"Ease of Doing Business","Except UAE, Ease of doing Business rankings improved for all other GCC countries in 2020","GCC Region"
7118,"Global Competitiveness","In 2020, all GCC nations witnessed improvement in Global Competitiveness rankings, except Oman.","GCC Region"
7120,"GCC New COVID-19 cases per million","Did you know: Only Qatar and UAE managed to bring down their new COVID-19 reported cases on a per million people bases, while there has been slight deterioration for other GCC nations in the month of April.","GCC Region"
7126,"% of GCC Population infected with COVID-19","Did you know: Despite being the most populous country in the GCC region, only 1.2% of the total population was infected with COVID-19 virus in Saudi Arabia, while in Bahrain about 10.4% of the population was infected with the virus.","GCC Region"
7133,"% of Population Vaccinated","Did you know: USA is one of the most active nations in terms of vaccination drive as it is close to vaccinate about one-third of its population against COVID-19 virus.
",Global
7728,"Weight of Countries in MSCI EM Index","GCC countries have low weightage in MSCI EM Index compared to leading emerging markets",Global
7750,"MSCI EM Index by Sector","Energy sector has low weightage in MSCI EM Index impacting GCC stocks",Global
